id,name,url,difficulty,topics,routes,acceptance_rate,c_rate,my_rate,notes,explanation,solved,my_solution
1,Two Sum,https://www.leetcode.com/problems/two-sum,Easy,"Array, Hash Table","Sixty Basic,Top Liked,Top Interview,Blind 75, Grind 75",49.07%,151.07,141.07,,,TRUE,
13,Roman to Integer,https://www.leetcode.com/problems/roman-to-integer,Easy,"Hash Table, Math, String",Top Interview,58.24%,118.24,100.24,,,TRUE,
20,Valid Parentheses,https://www.leetcode.com/problems/valid-parentheses,Easy,"String, Stack","Sixty Basic,Top Liked,Top Interview,Blind 75, Grind 75",40.67%,136.67,126.67,"push opening brace on stack, pop if matching close brace, at end if stack empty, return true;",https://youtu.be/WTzjTskDFMg,TRUE,
21,Merge Two Sorted Lists,https://www.leetcode.com/problems/merge-two-sorted-lists,Easy,"Linked List, Recursion","Top Liked,Top Interview,Blind 75, Grind 75",61.85%,145.85,125.85,insert each node from one list into the other,https://youtu.be/XIdigk956u0,TRUE,
35,Search Insert Position,https://www.leetcode.com/problems/search-insert-position,Easy,"Array, Binary Search","Sixty Basic,Top Liked",42%,110.00,102.00,,https://www.youtube.com/watch?v=K-RYzDZkzCI,TRUE,
121,Best Time to Buy and Sell Stock,https://www.leetcode.com/problems/best-time-to-buy-and-sell-stock,Easy,"Array, DP","Sixty Basic,Top Liked,Top Interview,Blind 75, Grind 75",54.47%,140.47,130.47,"find local min and search for local max, sliding window;",https://youtu.be/1pkOgXD63yU,TRUE,
125,Valid Palindrome,https://www.leetcode.com/problems/valid-palindrome,Easy,"Two Pointers, String","Top Interview,Blind 75, Grind 75",43.59%,111.59,91.59,"left, right pointers, update left and right until each points at alphanum, compare left and right, continue until left >= right, don’t distinguish between upper/lowercase;",https://youtu.be/jJXJ16kPFWg,TRUE,
169,Majority Element,https://www.leetcode.com/problems/majority-element,Easy,"Array, Hash Table, Divide and Conquer, Sorting, Counting","Top Liked,Top Interview",63.84%,143.84,125.84,,,TRUE,
217,Contains Duplicate,https://www.leetcode.com/problems/contains-duplicate,Easy,"Array, Hash Table, Sorting","Top Interview,Blind 75, Grind 75",61.28%,161.28,141.28,"hashset to get unique values in array, to check for duplicates easily",https://youtu.be/3OamzN90kPg,TRUE,
242,Valid Anagram,https://www.leetcode.com/problems/valid-anagram,Easy,"Hash Table, String, Sorting","Top Interview,Blind 75, Grind 75",62.73%,156.73,136.73,"hashmap to count each char in str1, decrement for str2;",https://youtu.be/9UtInBqnCgA,TRUE,
704,Binary Search,https://www.leetcode.com/problems/hexspeak,Easy,"Array, Binary Search",Grind 75,55.07%,123.07,105.07,,,TRUE,
41,First Missing Positive,https://www.leetcode.com/problems/first-missing-positive,Hard,"Array, Hash Table","Top Liked,Top Interview",36.53%,71.53,62.53,,,TRUE,
206,Reverse Linked List,https://www.leetcode.com/problems/reverse-linked-list,Easy,"Linked List, Recursion","Sixty Basic,Top Liked,Top Interview,Blind 75, Grind 75",72.43%,164.43,154.43,"iterate through maintaining cur and prev; recursively reverse, return new head of list",https://youtu.be/G0_I-ZF0S38,TRUE,
347,Top K Frequent Elements,https://www.leetcode.com/problems/top-k-frequent-elements,Medium,"Array, Hash Table, Divide and Conquer, Sorting, Priority Queue, Bucket Sort, Counting, Quickselect","Sixty Basic,Top Liked,Top Interview,Blind 75, Grind 75",64.80%,148.80,141.30,"minheap that’s kept at size k, if its bigger than k pop the min, by the end it should be left with k largest;",https://youtu.be/YPTqKIgVk-k,TRUE,
2,Add Two Numbers,https://www.leetcode.com/problems/add-two-numbers,Medium,"Linked List, Math, Recursion","Sixty Basic,Top Liked,Top Interview",39.76%,77.26,84.76,,,,
3,Longest Substring Without Repeating Characters,https://www.leetcode.com/problems/longest-substring-without-repeating-characters,Medium,"Hash Table, String, Sliding Window","Sixty Basic,Top Liked,Top Interview,Blind 75, Grind 75",33.78%,92.28,98.28,"sliding window, if we see same char twice within curr window, shift start position;",https://youtu.be/wiGpQwVHdE0,,
4,Median of Two Sorted Arrays,https://www.leetcode.com/problems/median-of-two-sorted-arrays,Hard,"Array, Binary Search, Divide and Conquer","Top Liked,Top Interview",35.23%,61.23,61.23,,,,
5,Longest Palindromic Substring,https://www.leetcode.com/problems/longest-palindromic-substring,Medium,"String, DP","Top Liked,Top Interview,Blind 75, Grind 75",32.41%,72.91,71.41,"foreach char in str, consider it were the middle, consider if pali was odd or even;",https://youtu.be/XYQecbcd6_c,,
6,Zigzag Conversion,https://www.leetcode.com/problems/zigzag-conversion,Medium,String,Sixty Basic,43.08%,61.08,68.58,,,,
7,Reverse Integer,https://www.leetcode.com/problems/reverse-integer,Medium,Math,Top Interview,27.22%,36.22,36.22,,,,
8,String to Integer (atoi),https://www.leetcode.com/problems/string-to-integer-atoi,Medium,String,"Sixty Basic,Top Interview",16.62%,42.12,49.62,,,,
10,Regular Expression Matching,https://www.leetcode.com/problems/regular-expression-matching,Hard,"String, DP, Recursion",Top Interview,28.24%,46.24,46.24,,,,
11,Container With Most Water,https://www.leetcode.com/problems/container-with-most-water,Medium,"Array, Two Pointers, Greedy","Top Liked,Top Interview,Blind 75, Grind 75",54.33%,99.33,97.83,"shrinking window, left/right initially at endpoints, shift the pointer with min height;",https://youtu.be/UuiTKBwPgAo,,
14,Longest Common Prefix,https://www.leetcode.com/problems/longest-common-prefix,Easy,String,Top Interview,40.77%,66.77,66.77,,,,
15,3Sum,https://www.leetcode.com/problems/3sum,Medium,"Array, Two Pointers, Sorting","Top Liked,Top Interview,Blind 75, Grind 75",32.28%,84.78,83.28,"sort input, for each first element, find next two where -a = b+c, if a=prevA, skip a, if b=prevB skip b to elim duplicates; to find b,c use two pointers, left/right on remaining list;",https://youtu.be/jzZsG8n2R9A,,
17,Letter Combinations of a Phone Number,https://www.leetcode.com/problems/letter-combinations-of-a-phone-number,Medium,"Hash Table, String, Backtracking","Top Liked,Top Interview",55.60%,90.10,90.10,,,,
19,Remove Nth Node From End of List,https://www.leetcode.com/problems/remove-nth-node-from-end-of-list,Medium,"Linked List, Two Pointers","Top Liked,Top Interview,Blind 75, Grind 75",39.95%,81.95,80.45,"use dummy node at head of list, compute len of list; two pointers, second has offset of n from first;",https://youtu.be/XVuQxVej6y8,,
22,Generate Parentheses,https://www.leetcode.com/problems/generate-parentheses,Medium,"String, DP, Backtracking","Sixty Basic,Top Liked,Top Interview",71.87%,100.37,107.87,,,,
23,Merge k Sorted Lists,https://www.leetcode.com/problems/merge-k-sorted-lists,Hard,"Linked List, Divide and Conquer, Priority Queue, Merge Sort","Top Liked,Top Interview,Blind 75, Grind 75",48.39%,76.39,75.39,"divied and conquer, merge lists, N totalnodes, k-lists, O(N*logk). For each list, find min val, insert it into list, use priorityQ to optimize finding min O(N*logk)",https://youtu.be/q5a5OiGbT6Q,,
24,Swap Nodes in Pairs,https://www.leetcode.com/problems/swap-nodes-in-pairs,Medium,"Linked List, Recursion",Top Liked,60.38%,84.38,84.38,,,,
25,Reverse Nodes in k-Group,https://www.leetcode.com/problems/reverse-nodes-in-k-group,Hard,"Linked List, Recursion",Top Liked,53.54%,69.54,69.54,,,,
26,Remove Duplicates from Sorted Array,https://www.leetcode.com/problems/remove-duplicates-from-sorted-array,Easy,"Array, Two Pointers",Top Interview,50.37%,82.37,82.37,,,,
28,Find the Index of the First Occurrence in a String,https://www.leetcode.com/problems/find-the-index-of-the-first-occurrence-in-a-string,Medium,"Two Pointers, String, String Matching",Top Interview,37.55%,57.05,57.05,,,,
29,Divide Two Integers,https://www.leetcode.com/problems/divide-two-integers,Medium,"Math, Bit Manipulation",Top Interview,17.34%,26.34,26.34,,,,
31,Next Permutation,https://www.leetcode.com/problems/next-permutation,Medium,"Array, Two Pointers","Sixty Basic,Top Liked",37.11%,62.61,70.11,,,,
32,Longest Valid Parentheses,https://www.leetcode.com/problems/longest-valid-parentheses,Hard,"String, DP, Stack",Top Liked,32.70%,50.70,50.70,,,,
33,Search in Rotated Sorted Array,https://www.leetcode.com/problems/search-in-rotated-sorted-array,Medium,"Array, Binary Search","Sixty Basic,Top Liked,Top Interview,Blind 75, Grind 75",38.66%,101.66,107.66,"at most two sorted halfs, mid will be apart of left sorted or right sorted, if target is in range of sorted portion then search it, otherwise search other half",https://youtu.be/U8XENwh8Oy8,,
34,Find First and Last Position of Element in Sorted Array,https://www.leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array,Medium,"Array, Binary Search","Top Liked,Top Interview",41.54%,80.54,80.54,,,,
38,Count and Say,https://www.leetcode.com/problems/count-and-say,Medium,String,Top Interview,51.27%,70.77,70.77,,,,
39,Combination Sum,https://www.leetcode.com/problems/combination-sum,Medium,"Array, Backtracking","Sixty Basic,Top Liked,Blind 75, Grind 75",67.67%,111.17,117.17,"visualize the decision tree, base case is curSum = or > target, each candidate can have children of itself or elements to right of it inorder to elim duplicate solutions;",https://youtu.be/GBKI9VSKdGg,,
42,Trapping Rain Water,https://www.leetcode.com/problems/trapping-rain-water,Hard,"Array, Two Pointers, DP, Stack, Monotonic Stack","Top Liked,Top Interview",58.79%,84.79,84.79,,,,
44,Wildcard Matching,https://www.leetcode.com/problems/wildcard-matching,Hard,"String, DP, Greedy, Recursion",Top Interview,26.84%,44.84,44.84,,,,
45,Jump Game II,https://www.leetcode.com/problems/jump-game-ii,Medium,"Array, DP, Greedy",Top Liked,38.57%,58.07,58.07,,,,
46,Permutations,https://www.leetcode.com/problems/permutations,Medium,"Array, Backtracking","Sixty Basic,Top Liked,Top Interview",74.75%,107.75,115.25,,,,
48,Rotate Image,https://www.leetcode.com/problems/rotate-image,Medium,"Array, Math, Matrix","Top Liked,Top Interview,Blind 75, Grind 75",69.95%,114.95,113.45,"rotate layer-by-layer, use that it's a square as advantage, rotate positions in reverse order, store a in temp, a = b, b = c, c = d, d = temp;",https://youtu.be/fMSJSS7eO1w,,
49,Group Anagrams,https://www.leetcode.com/problems/group-anagrams,Medium,"Array, Hash Table, String, Sorting","Sixty Basic,Top Liked,Top Interview,Blind 75, Grind 75",66.42%,147.42,153.42,"for each of 26 chars, use count of each char in each word as tuple for key in dict, value is the list of anagrams;",https://youtu.be/vzdNOK2oB2E,,
50,"Pow(x, n)",https://www.leetcode.com/problems/powx-n,Medium,"Math, Recursion","Sixty Basic,Top Interview",32.79%,55.29,62.79,,,,
51,N-Queens,https://www.leetcode.com/problems/n-queens,Hard,"Array, Backtracking",Top Liked,62.97%,75.97,75.97,,,,
53,Maximum Subarray,https://www.leetcode.com/problems/maximum-subarray,Medium,"Array, Divide and Conquer, DP","Sixty Basic,Top Liked,Top Interview,Blind 75, Grind 75",50.06%,101.06,107.06,"pattern: prev subarray cant be negative, DP: compute max sum for each prefix",https://youtu.be/5WZl3MMT0Eg,,
54,Spiral Matrix,https://www.leetcode.com/problems/spiral-matrix,Medium,"Array, Matrix, Simulation","Top Liked,Top Interview,Blind 75, Grind 75",43.72%,88.72,87.22,"keep track of visited cells; keep track of boundaries, layer-by-layer;",https://youtu.be/BJnMZNwUk1M,,
55,Jump Game,https://www.leetcode.com/problems/jump-game,Medium,"Array, DP, Greedy","Top Liked,Top Interview,Blind 75, Grind 75",38.44%,83.44,81.94,"visualize the recursive tree, cache solution for O(n) time/mem complexity, iterative is O(1) mem, just iterate backwards to see if element can reach goal node, if yes, then set it equal to goal node, continue;",https://youtu.be/Yan0cv2cLy8,,
56,Merge Intervals,https://www.leetcode.com/problems/merge-intervals,Medium,"Array, Sorting","Top Liked,Top Interview,Blind 75, Grind 75",45.93%,98.43,96.93,"sort each interval, overlapping intervals should be adjacent, iterate and build solution; also graph method, less efficient, more complicated",https://youtu.be/44H3cEC2fFM,,
57,Insert Interval,https://www.leetcode.com/problems/insert-interval,Medium,Array,"Blind 75, Grind 75",37.97%,72.47,70.97,"insert new interval in order, then merge intervals; newinterval could only merge with one interval that comes before it, then add remaining intervals;",https://youtu.be/A8NUOmlwOlM,,
62,Unique Paths,https://www.leetcode.com/problems/unique-paths,Medium,"Math, DP, Combinatorics","Sixty Basic,Top Liked,Top Interview,Blind 75, Grind 75",62.27%,98.27,104.27,"work backwards from solution, store paths for each position in grid, to further optimize, we don’t store whole grid, only need to store prev row;",https://youtu.be/IlEsdxuD4lY,,
63,Unique Paths II,https://www.leetcode.com/problems/unique-paths-ii,Medium,"Array, DP, Matrix",Sixty Basic,39.12%,61.62,69.12,,,,
64,Minimum Path Sum,https://www.leetcode.com/problems/minimum-path-sum,Medium,"Array, DP, Matrix",Top Liked,60.63%,80.13,80.13,,,,
66,Plus One,https://www.leetcode.com/problems/plus-one,Easy,"Array, Math",Top Interview,43.37%,75.37,75.37,,,,
67,Add Binary,https://www.leetcode.com/problems/detect-cycles-in-2d-grid,Easy,"Math, String, Bit Manipulation, Simulation",Grind 75,51.33%,79.33,79.33,,,,
69,Sqrt(x),https://www.leetcode.com/problems/sqrtx,Easy,"Math, Binary Search",Top Interview,37.05%,65.05,65.05,,,,
70,Climbing Stairs,https://www.leetcode.com/problems/climbing-stairs,Easy,"Math, DP, Memoization","Top Liked,Top Interview,Blind 75, Grind 75",51.73%,91.73,89.73,"subproblem find (n-1) and (n-2), sum = n;",https://youtu.be/Y0lT9Fck7qI,,
72,Edit Distance,https://www.leetcode.com/problems/edit-distance,Hard,"String, DP",Top Liked,52.66%,62.66,62.66,,,,
73,Set Matrix Zeroes,https://www.leetcode.com/problems/set-matrix-zeroes,Medium,"Array, Hash Table, Matrix","Top Liked,Top Interview,Blind 75, Grind 75",50.04%,107.04,105.54,"use sets to keep track of all rows, cols to zero out, after, for each num if it is in a zero row or col then change it to 0; flag first cell in row, and col to mark row/col that needs to be zeroed;",https://youtu.be/T41rL0L3Pnw,,
74,Search a 2D Matrix,https://www.leetcode.com/problems/search-a-2d-matrix,Medium,"Array, Binary Search, Matrix",Top Liked,46.87%,78.37,78.37,,,,
75,Sort Colors,https://www.leetcode.com/problems/sort-colors,Medium,"Array, Two Pointers, Sorting","Top Liked,Top Interview",57.23%,91.73,91.73,,,,
76,Minimum Window Substring,https://www.leetcode.com/problems/minimum-window-substring,Hard,"Hash Table, String, Sliding Window","Top Liked,Top Interview,Blind 75, Grind 75",40.69%,75.69,74.69,"need is num of unique char in T, HAVE is num of char we have valid count for, sliding window, move right until valid, if valid, increment left until invalid, to check validity keep track if the count of each unique char is satisfied;",https://youtu.be/jSto0O4AJbM,,
78,Subsets,https://www.leetcode.com/problems/subsets,Medium,"Array, Backtracking, Bit Manipulation","Sixty Basic,Top Liked,Top Interview",73.90%,106.90,114.40,,,,
79,Word Search,https://www.leetcode.com/problems/word-search,Medium,"Array, Backtracking, Matrix","Top Liked,Top Interview,Blind 75, Grind 75",39.79%,84.79,83.29,"dfs on each cell, for each search remember visited cells, and remove cur visited cell right before you return from dfs;",https://youtu.be/pfiQ_PS1g8E,,
82,Remove Duplicates from Sorted List II,https://www.leetcode.com/problems/remove-duplicates-from-sorted-list-ii,Medium,"Linked List, Two Pointers",Sixty Basic,45.46%,64.96,72.46,,,,
83,Remove Duplicates from Sorted List,https://www.leetcode.com/problems/remove-duplicates-from-sorted-list,Easy,Linked List,Sixty Basic,49.88%,75.88,85.88,,,,
84,Largest Rectangle in Histogram,https://www.leetcode.com/problems/largest-rectangle-in-histogram,Hard,"Array, Stack, Monotonic Stack","Top Liked,Top Interview",42.15%,68.15,68.15,,,,
88,Merge Sorted Array,https://www.leetcode.com/problems/merge-sorted-array,Easy,"Array, Two Pointers, Sorting",Top Interview,45.75%,87.75,87.75,,,,
91,Decode Ways,https://www.leetcode.com/problems/decode-ways,Medium,"String, DP","Top Interview,Blind 75, Grind 75",32.25%,69.75,68.25,"can cur char be decoded in one or two ways? Recursion -> cache -> iterative dp solution, a lot of edge cases to determine, 52, 31, 29, 10, 20 only decoded one way, 11, 26 decoded two ways",https://youtu.be/6aEyTjOwlJU,,
94,Binary Tree Inorder Traversal,https://www.leetcode.com/problems/binary-tree-inorder-traversal,Easy,"Stack, Tree, DFS, Binary Tree","Top Liked,Top Interview",73%,115.00,115.00,,,,
98,Validate Binary Search,https://www.leetcode.com/problems/validate-binary-search-tree,Medium,"Tree, DFS, Binary Search, Binary Tree","Sixty Basic,Top Liked,Top Interview,Blind 75, Grind 75",31.73%,87.23,81.23,"trick is use built in python min/max values float(""inf""), ""-inf"", as parameters; iterative in-order traversal, check each val is greater than prev;",https://youtu.be/s6ATEkipzow,,
100,Same Tree,https://www.leetcode.com/problems/same-tree,Easy,"Tree, DFS, BFS, Binary Tree","Blind 75, Grind 75",56.36%,92.36,90.36,recursive dfs on both trees at the same time; iterative bfs compare each level of both trees,https://youtu.be/vRbbcKXCxOw,,
101,Symmetric Tree,https://www.leetcode.com/problems/symmetric-tree,Easy,"Tree, DFS, BFS, Binary Tree","Top Liked,Top Interview",52.92%,78.92,78.92,,,,
102,Binary Tree Level Order Traversal,https://www.leetcode.com/problems/binary-tree-level-order-traversal,Medium,"Tree, BFS, Binary Tree","Sixty Basic,Top Liked,Top Interview,Blind 75, Grind 75",63.27%,106.77,112.77,"iterative bfs, add prev level which doesn't have any nulls to the result;",https://youtu.be/6ZnyEApgFYg,,
103,Binary Tree Zigzag Level Order Traversal,https://www.leetcode.com/problems/binary-tree-zigzag-level-order-traversal,Medium,"Tree, BFS, Binary Tree","Sixty Basic,Top Interview",55.15%,77.65,85.15,,,,
104,Maximum Depth of Binary Tree,https://www.leetcode.com/problems/maximum-depth-of-binary-tree,Easy,"Tree, DFS, BFS, Binary Tree","Sixty Basic,Top Liked,Top Interview,Blind 75, Grind 75",73.11%,131.11,139.11,recursive dfs to find max-depth of subtrees; iterative bfs to count number of levels in tree,https://youtu.be/hTM3phVI6YQ,,
105,Construct Binary Tree from Preorder and Inorder Traversal,https://www.leetcode.com/problems/construct-binary-tree-from-preorder-and-inorder-traversal,Medium,"Array, Hash Table, Divide and Conquer, Tree, Binary Tree","Sixty Basic,Top Liked,Top Interview,Blind 75, Grind 75",60.77%,131.27,137.27,"first element in pre-order is root, elements left of root in in-order are left subtree, right of root are right subtree, recursively build subtrees;",https://youtu.be/ihj4IQGZ2zc,,
108,Convert Sorted Array to Binary Search,https://www.leetcode.com/problems/convert-sorted-array-to-binary-search-tree,Easy,"Array, Divide and Conquer, Tree, Binary Search Tree, Binary Tree","Sixty Basic,Top Liked,Top Interview",69.03%,123.03,133.03,,,,
110,Balanced Binary Tree,https://www.leetcode.com/problems/rank-teams-by-votes,Easy,"Tree, DFS, Binary Tree",Grind 75,48.19%,72.19,72.19,,,,
111,Minimum Depth of Binary Tree,https://www.leetcode.com/problems/minimum-depth-of-binary-tree,Easy,"Tree, DFS, BFS, Binary Tree",Sixty Basic,43.58%,63.58,73.58,,,,
112,Path Sum,https://www.leetcode.com/problems/path-sum,Easy,"Tree, DFS, BFS, Binary Tree",Sixty Basic,47.63%,67.63,77.63,,,,
114,Flatten Binary Tree to Linked List,https://www.leetcode.com/problems/flatten-binary-tree-to-linked-list,Medium,"Linked List, Stack, Tree, DFS, Binary Tree",Top Liked,61.11%,97.11,97.11,,,,
116,Populating Next Right Pointers in Each Node,https://www.leetcode.com/problems/populating-next-right-pointers-in-each-node,Medium,"Linked List, Tree, DFS, BFS, Binary Tree",Top Interview,59.42%,87.92,87.92,,,,
118,Pascal's Triangle,https://www.leetcode.com/problems/pascals-triangle,Easy,"Array, DP",Top Interview,69.14%,101.14,101.14,,,,
122,Best Time to Buy and Sell Stock II,https://www.leetcode.com/problems/best-time-to-buy-and-sell-stock-ii,Medium,"Array, DP, Greedy","Sixty Basic,Top Interview",63.30%,93.30,100.80,,,,
124,Binary Tree Maximum Path Sum,https://www.leetcode.com/problems/binary-tree-maximum-path-sum,Hard,"DP, Tree, DFS, Binary Tree","Top Liked,Top Interview,Blind 75, Grind 75",38.42%,63.42,62.42,"helper returns maxpathsum without splitting branches, inside helper we also update maxSum by computing maxpathsum WITH a split;",https://youtu.be/Hr5cWUld4vU,,
127,Word Ladder,https://www.leetcode.com/problems/word-ladder,Hard,"Hash Table, String, BFS","Sixty Basic,Top Interview",36.68%,61.68,66.68,,,,
128,Longest Consecutive Sequence,https://www.leetcode.com/problems/longest-consecutive-sequence,Medium,"Array, Hash Table, Union Find","Top Liked,Top Interview,Blind 75, Grind 75",48.93%,105.93,104.43,"use bruteforce and try to optimize, consider the max subseq containing each num; add each num to hashset, for each num if num-1 doesn’t exist, count the consecutive nums after num, ie num+1; there is also a union-find solution;",https://youtu.be/P6RZZMu_maU,,
130,Surrounded Regions,https://www.leetcode.com/problems/surrounded-regions,Medium,"Array, DFS, BFS, Union Find, Matrix",Top Interview,35.97%,59.97,59.97,,,,
131,Palindrome Partitioning,https://www.leetcode.com/problems/palindrome-partitioning,Medium,"String, DP, Backtracking","Top Liked,Top Interview",62.42%,84.92,84.92,,,,
133,Clone Graph,https://www.leetcode.com/problems/clone-graph,Medium,"Hash Table, DFS, BFS, Graph","Blind 75, Grind 75",50.67%,82.17,80.67,"recursive dfs, hashmap for visited nodes",https://youtu.be/mQeF6bN8hMk,,
134,Gas Station,https://www.leetcode.com/problems/gas-station,Medium,"Array, Greedy",Top Interview,45.07%,69.07,69.07,,,,
136,Single Number,https://www.leetcode.com/problems/single-number,Easy,"Array, Bit Manipulation","Top Liked,Top Interview",70.06%,106.06,106.06,,,,
138,Copy List with Random Pointer,https://www.leetcode.com/problems/copy-list-with-random-pointer,Medium,"Hash Table, Linked List","Top Liked,Top Interview",50.52%,86.52,86.52,,,,
139,Word Break,https://www.leetcode.com/problems/word-break,Medium,"Hash Table, String, DP, Trie, Memoization","Sixty Basic,Top Liked,Top Interview,Blind 75, Grind 75",45.42%,103.92,109.92,"for each prefix, if prefix is in dict and wordbreak(remaining str)=True, then return True, cache result of wordbreak;",https://youtu.be/Sx9NNgInc3A,,
140,Word Break II,https://www.leetcode.com/problems/word-break-ii,Hard,"Hash Table, String, DP, Backtracking, Trie, Memoization",Top Interview,44.45%,65.45,65.45,,,,
141,Linked List Cycle,https://www.leetcode.com/problems/linked-list-cycle,Easy,"Hash Table, Linked List, Two Pointers","Sixty Basic,Top Liked,Top Interview,Blind 75, Grind 75",46.89%,126.89,134.89,,,,
142,Linked List Cycle II,https://www.leetcode.com/problems/linked-list-cycle-ii,Medium,"Hash Table, Linked List, Two Pointers","Sixty Basic,Top Liked",46.32%,80.82,88.32,,,,
143,Reorder List,https://www.leetcode.com/problems/reorder-list,Medium,"Linked List, Two Pointers, Stack, Recursion","Blind 75, Grind 75",51.08%,102.08,100.58,"reverse second half of list, then easily reorder it; non-optimal way is to store list in array;",https://youtu.be/S5bfdUTrKLM,,
146,LRU Cache,https://www.leetcode.com/problems/lru-cache,Medium,"Hash Table, Linked List, Design, Doubly-Linked List","Top Liked,Top Interview",40.51%,76.51,76.51,,,,
148,Sort List,https://www.leetcode.com/problems/sort-list,Medium,"Linked List, Two Pointers, Divide and Conquer, Sorting, Merge Sort","Top Liked,Top Interview",54.14%,85.64,85.64,,,,
149,Max Points on a Line,https://www.leetcode.com/problems/max-points-on-a-line,Hard,"Array, Hash Table, Math, Geometry",Top Interview,21.74%,45.74,45.74,,,,
150,Evaluate Reverse Polish Notation,https://www.leetcode.com/problems/evaluate-reverse-polish-notation,Medium,"Array, Math, Stack",Top Interview,44.09%,80.09,80.09,,,,
152,Maximum Product Subarray,https://www.leetcode.com/problems/maximum-product-subarray,Medium,"Array, DP","Top Liked,Top Interview,Blind 75, Grind 75",34.91%,79.91,78.41,dp: compute max and max-abs-val for each prefix subarr;,https://youtu.be/lXVy6YWFcRM,,
153,Find Minimum in Rotated Sorted Array,https://www.leetcode.com/problems/find-minimum-in-rotated-sorted-array,Medium,"Array, Binary Search","Sixty Basic,Top Liked,Blind 75, Grind 75",48.48%,103.98,109.98,"check if half of array is sorted in order to find pivot, arr is guaranteed to be in at most two sorted subarrays",https://youtu.be/nIVW4P8b1VA,,
155,Min Stack,https://www.leetcode.com/problems/min-stack,Medium,"Stack, Design","Top Liked,Top Interview",51.82%,75.82,75.82,,,,
